Kepler-143c	TIC-28364164
Kepler-144b	TIC-123409401
Kepler-144c	TIC-123409401
Kepler-145b	TIC-159721091
Kepler-145c	TIC-159721091
Kepler-1464b	TIC-121123737
Kepler-1464c	TIC-121123737
Kepler-1468b	TIC-138219758
Kepler-1468c	TIC-138219758
Kepler-147b	TIC-121458206
Kepler-147c	TIC-121458206
Kepler-148b	TIC-159171904
Kepler-148c	TIC-159171904
Kepler-148d	TIC-159171904
Kepler-1480b	TIC-26541144
Kepler-149b	TIC-120638033
Kepler-149c	TIC-120638033
Kepler-149d	TIC-120638033
Kepler-150b	TIC-121598758
Kepler-150c	TIC-121598758
Kepler-150d	TIC-121598758
Kepler-150e	TIC-121598758
Kepler-150f	TIC-121598758
Kepler-151b	TIC-137410997
Kepler-151c	TIC-137410997
Kepler-1514b	TIC-137685450
Kepler-1514c	TIC-137685450
Kepler-152b	TIC-158387462
Kepler-152c	TIC-158387462
Kepler-153b	TIC-48188777
Kepler-153c	TIC-48188777
Kepler-1530b	TIC-298892283
Kepler-1530c	TIC-298892283
Kepler-154b	TIC-416282268
Kepler-154c	TIC-416282268
Kepler-154d	TIC-416282268
Kepler-154e	TIC-416282268
Kepler-154f	TIC-416282268
Kepler-1540b	TIC-237158408
Kepler-1542b	TIC-279915941
Kepler-1542c	TIC-279915941
Kepler-1542d	TIC-279915941
Kepler-1542e	TIC-279915941
Kepler-155b	TIC-298969755
Kepler-155c	TIC-298969755
Kepler-156b	TIC-122374620
Kepler-156c	TIC-122374620
Kepler-157b	TIC-122716806
