#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
Kepler-637 b,TIC 137626872,23.20584623,5.368E-05,,,2455013.76141,0.00174,,,0.01727,0.00039,6096,0.38,3.84,292.4172566,41.4168384,1,2
Kepler-638 b,TIC 120420633,6.07972888,1.513E-05,,,2455003.58397,0.0019,,,0.01828,0.00015,5382,0.04,4.43,284.9194213,41.6172093,1,4
Kepler-639 b,TIC 137409501,10.21420496,2.131E-05,,,2455003.7036,0.00157,,,0.01673,0.00207,5896,0.23,4.27,292.1868271,41.726944,1,2
Kepler-640 b,TIC 272180958,22.24813967,3.515E-05,,,2455007.13664,0.00124,,,0.02523,5E-05,5653,0.15,4.5,296.0322,42.1317392,1,4
Kepler-641 b,TIC 63006978,9.48961571,2.398E-05,,,2455004.92913,0.00199,,,0.01533,5E-05,5713,0.15,4.33,291.8235292,42.5161945,1,2
Kepler-642 b,TIC 270705735,4.41745855,6.6E-06,,,2455003.79162,0.00119,,,0.01581,0.00039,6570,0.06,4.14,293.8345542,42.624948,1,4
Kepler-643 b,TIC 159311390,16.33889626,1.826E-05,,,2455010.916757,0.000877,,,0.03741,0.00041,4908,0.13,3.64,290.3272423,42.8982283,1,2
Kepler-644 b,TIC 271669616,3.1739171,4.23E-06,,,2455003.92435,0.00104,,,0.01635,0.00037,6747,0.08,4.09,295.4757022,43.4931119,1,4
Kepler-645 b,TIC 159381747,3.27582262,4.77E-06,,,2455003.25268,0.00114,,,0.01569,0.00038,6170,-0.01,4.33,290.3227098,44.0358625,1,4
Kepler-646 b,TIC 159441621,15.87364565,4.3E-05,,,2455015.40134,0.00218,,,0.01995,0.00232,5634,-0.07,4.49,290.4714596,44.3870422,1,4
Kepler-648 b,TIC 164560223,17.4211749,2.066E-05,,,2455017.246184,0.00096,,,0.02996,0.00045,5741,0.21,4.48,283.8996207,45.0169137,1,4
Kepler-649 b,TIC 352012975,29.90722674,5.373E-05,,,2455008.29327,0.00133,,,0.0223,0.00041,5871,-0.17,4.48,285.6558336,45.0794516,1,4
Kepler-650 b,TIC 158934047,3.03214559,3.31E-06,,,2455004.734756,0.00086,,,0.02031,0.00035,5849,0.13,4.21,289.0009451,45.1542968,1,4
Kepler-651 b,TIC 158415898,21.38521506,3.88E-05,,,2455011.78117,0.00141,,,0.02486,0.00202,5522,-0.04,4.53,287.3327284,46.2034366,1,6
